,Siruta,Localitate,LT
1879,111220,Ciresu,147.12041884816753
1471,89151,Cerbal,120.97186700767264
1910,113153,Poroina Mare,113.38582677165354
1905,112806,Padina,105.08298755186722
1901,112600,Livezile,104.4502617801047
2733,155662,Bara,102.62172284644195
2653,152662,Crangu,99.64189794091315
1176,72604,Gogosu,98.66962305986696
1869,110456,Balta,95.47079856972587
1888,111818,Godeanu,94.03973509933775
1908,112959,Podeni,92.20389805097452
1890,111916,Greci,90.37267080745342
1912,113233,Prunisor,86.31303208906353
1871,110571,Bacles,85.95271210013908
1921,113849,Vanatori,84.44306160547605
2132,126228,Colonesti,84.41153546375682
1894,112129,Husnicioara,83.63821138211382
1468,88920,Bulzestii De Sus,82.95964125560538
2122,125757,Barasti,81.81818181818183
1142,70968,Botosesti-Paia,81.63636363636364
916,59130,Recea-Cristur,81.5228426395939
1862,109826,Simian,78.1563593932322
2194,129317,Tatulesti,78.12061711079944
1896,112263,Ilovat,78.10894141829394
1469,89026,Bunila,77.96052631578947
21,3841,Ceru-Bacainti,77.93427230046949
1207,74108,Seaca De Camp,77.58271438217422
852,54699,Zorlentu Mare,76.94954128440367
1916,113518,Stangaceaua,75.71157495256166
2701,154521,Talpa,75.7070340826686
739,48165,Pardosi,75.07987220447284
1730,103309,Gogosari,75.0186428038777
2144,126905,Fagetelu,74.84848484848486
1209,74171,Secu,74.17380660954713
1232,74931,Plesoi,73.79310344827587
1737,103568,Gurbanesti,73.34096109839817
1171,72409,Ghercesti,72.98335467349551
2193,129282,Stefan Cel Mare,72.8581713462923
1872,110688,Balvanesti,72.71468144044321
1492,91054,Sarmizegetusa,72.65135699373695
2134,126380,Coteana,72.18543046357617
1904,112771,Oprisor,71.94835680751174
1213,74359,Terpezita,71.47487844408428
2699,154460,Suhaia,71.38009049773756
1188,73246,Mischii,71.37907137907138
921,59434,Sancraiu,71.22137404580153
1878,111097,Cazanesti,71.03729603729604
922,59498,Sanmartin,71.00802854594113
1923,113929,Vladaia,70.79091620986688
1914,113466,Rogova,70.22900763358778
2197,129503,Topana,70.03610108303249
1233,74949,Rojiste,69.62406015037594
1689,101519,Bulbucata,69.5852534562212
2223,130384,Soparlita,69.46410515672396
2165,127812,Oboga,69.25308194343728
2777,157969,Ohaba Lunga,69.23076923076923
1460,88216,Batrana,69.0721649484536
2750,156534,Criciova,68.71717929482371
1739,103693,Iepuresti,68.5583822570124
2137,126503,Cungrea,68.4041184041184
2645,152350,Calinesti,68.22660098522168
1219,74616,Vela,68.19407008086253
47,6119,Ocolis,68.07610993657505
1898,112370,Isverna,67.77332570120205
2185,128882,Samburesti,67.68507638072856
771,50399,Valcelele,67.13780918727915
1225,74867,Carna,67.13483146067416
2695,154308,Sarbeni,66.97761194029852
1702,102071,Colibasi,66.82908545727136
1559,94606,Ulmu,66.7605633802817
1136,70673,Amarastii De Sus,66.66666666666666
1763,104715,Putineiu,66.59352715304443
420,30773,Rieni,66.4860358482701
12,2381,Arieseni,66.398243045388
2445,143147,Zimbor,66.25463535228677
1776,105348,Stoenesti,65.7928388746803
1728,103238,Ghimpati,65.74793875147232
639,42449,Sinca Noua,65.6832298136646
1885,111587,Dumbrava,65.4309545875811
1467,88868,Bucuresci,65.38461538461539
1143,70986,Brabova,65.33203125
2742,156151,Brestovat,65.22462562396007
2210,130062,Voineasa,65.22248243559719
208,16659,Hartiesti,65.18475750577367
697,45334,Blajani,65.07352941176471
1208,74135,Seaca De Padure,65.06849315068493
2781,158136,Pietroasa,64.7268408551069
224,17771,Nucsoara,64.53333333333333
2167,127901,Optasi-Magura,64.48598130841121
1456,87843,Balsa,64.4640234948605
1485,90431,Pestisu Mic,64.43089430894308
709,46108,Chiliile,64.1025641025641
1720,102838,Frasinet,63.98763523956723
1758,104519,Oinacu,63.47479143997098
1876,110946,Burila Mare,63.40450771055753
2166,127858,Oporelu,63.25088339222616
1048,65154,Estelnic,63.18742985409652
444,32045,Viisoara,63.078375826251175
294,22488,Filipeni,62.86549707602339
773,50479,Ziduri,62.86135693215339
818,53069,Lapusnicel,62.53196930946292
200,16329,Dambovicioara,62.483311081441926
2671,153384,Mosteni,62.226117440841364
2685,153909,Rasmiresti,62.035541195476576
706,45888,Canesti,61.99324324324324
