,Localitate,18-24,25-34,35-44,45-64,65_,Dominant_age_group
0,Municipiul Alba Iulia,1623,3016,4531,8490,4104,45-64
1,Ciugud,104,211,262,500,351,45-64
2,Oras Abrud,137,166,232,800,310,45-64
3,Municipiul Aiud,488,650,859,2508,1444,45-64
4,Municipiul Blaj,461,617,894,2261,1390,45-64
5,Oras Campeni,221,306,453,1190,518,45-64
6,Oras Cugir,417,721,1046,3023,1929,45-64
7,Oras Ocna Mures,255,277,342,1233,711,45-64
8,Municipiul Sebes,629,1052,1443,3100,1592,45-64
9,Oras Zlatna,207,329,345,991,384,45-64
10,Albac,63,98,125,278,150,45-64
11,Almasu Mare,40,55,61,223,92,45-64
12,Arieseni,96,133,160,335,183,45-64
13,Avram Iancu,45,48,84,183,129,45-64
14,Oras Baia De Aries,99,104,110,478,188,45-64
15,Berghin,50,68,74,186,113,45-64
16,Bistra,143,154,200,547,241,45-64
17,Blandiana,19,43,50,113,80,45-64
18,Bucium,31,46,57,195,132,45-64
19,Cenade,33,43,39,118,62,45-64
20,Cergau,75,101,87,225,159,45-64
21,Ceru-Bacainti,15,21,38,52,40,45-64
22,Cetatea De Balta,75,123,121,280,191,45-64
23,Ciuruleasa,48,85,97,222,133,45-64
24,Calnic,66,80,110,181,81,45-64
25,Cricau,49,64,105,223,121,45-64
26,Craciunelu De Jos,56,96,124,268,158,45-64
27,Daia Romana,113,142,176,384,176,45-64
28,Dostat,52,66,67,115,78,45-64
29,Farau,73,76,117,224,189,45-64
30,Galda De Jos,92,152,185,452,241,45-64
31,Garbova,50,77,89,177,91,45-64
32,Garda De Sus,36,64,89,205,66,45-64
33,Hoparta,50,54,67,112,85,45-64
34,Horea,92,130,174,354,184,45-64
35,Ighiu,186,247,334,677,283,45-64
36,Intregalde,24,29,30,83,53,45-64
37,Jidvei,153,242,262,514,223,45-64
38,Livezile,32,59,81,213,215,65_
39,Lopadea Noua,73,114,151,355,227,45-64
40,Lunca Muresului,42,58,54,193,101,45-64
41,Lupsa,101,128,125,450,180,45-64
42,Metes,76,125,185,364,214,45-64
43,Mihalt,100,137,153,370,216,45-64
44,Miraslau,45,56,86,229,124,45-64
45,Mogos,12,34,49,120,108,45-64
46,Noslac,44,84,66,184,139,45-64
47,Ocolis,24,31,42,128,97,45-64
48,Ohaba,26,36,26,100,120,65_
49,Pianu,107,179,156,361,205,45-64
50,Poiana Vadului,34,43,58,111,39,45-64
51,Ponor,17,34,29,86,56,45-64
52,Posaga,44,35,58,155,96,45-64
53,Radesti,40,60,75,195,159,45-64
54,Rametea,27,37,39,129,99,45-64
55,Ramet,19,33,35,119,53,45-64
56,Rosia Montana,81,111,151,389,155,45-64
57,Rosia De Secas,44,50,41,111,86,45-64
58,Salciua,41,51,58,212,98,45-64
59,Salistea,89,162,166,342,217,45-64
60,Sasciori,227,311,338,552,247,45-64
61,Scarisoara,69,86,113,250,158,45-64
62,Sancel,88,100,84,298,165,45-64
63,Santimbru,104,128,175,371,213,45-64
64,Sohodol,55,83,112,233,92,45-64
65,Stremt,76,107,120,312,226,45-64
66,Sibot,52,94,108,330,182,45-64
67,Sona,107,128,162,448,252,45-64
68,Spring,105,120,150,325,166,45-64
69,Sugag,109,196,189,399,192,45-64
70,Oras Teius,149,231,273,768,458,45-64
71,Unirea,110,161,170,433,345,45-64
72,Vadu Motilor,64,76,118,222,91,45-64
73,Valea Lunga,98,107,169,360,201,45-64
74,Vidra,65,80,99,226,106,45-64
75,Vintu De Jos,136,217,222,568,292,45-64
76,Cut,46,56,88,179,109,45-64
77,Bucerdea Granoasa,74,96,136,268,113,45-64
78,Municipiul Arad,2944,5600,8226,16827,8887,45-64
79,Fantanele,87,131,184,379,154,45-64
80,Livada,114,165,262,366,152,45-64
81,Sofronea,77,106,145,349,168,45-64
82,Vladimirescu,274,464,729,1316,501,45-64
83,Oras Chisineu-Cris,180,245,379,828,376,45-64
84,Oras Curtici,126,209,253,568,273,45-64
85,Oras Ineu,207,348,477,1054,446,45-64
86,Oras Lipova,211,374,477,1045,549,45-64
87,Oras Nadlac,123,229,266,671,313,45-64
88,Oras Pancota,159,279,304,643,337,45-64
89,Oras Sebis,149,240,248,649,303,45-64
90,Almas,80,100,114,285,153,45-64
91,Apateu,93,131,166,320,202,45-64
92,Archis,57,73,121,219,149,45-64
93,Bata,26,36,61,113,80,45-64
94,Beliu,85,123,150,338,157,45-64
95,Birchis,32,61,54,143,69,45-64
96,Barsa,61,94,121,279,126,45-64
97,Barzava,77,126,156,336,239,45-64
98,Bocsig,79,127,177,375,161,45-64
99,Brazii,69,74,76,191,103,45-64
100,Buteni,125,160,182,468,256,45-64
101,Carand,30,45,41,146,80,45-64
102,Cermei,60,118,136,346,156,45-64
103,Chisindia,39,46,78,186,95,45-64
104,Conop,53,82,98,225,132,45-64
105,Covasint,32,76,89,193,90,45-64
106,Craiva,101,137,198,354,239,45-64
107,Dezna,28,62,62,184,107,45-64
108,Dieci,54,85,103,229,201,45-64
109,Ususau,35,60,65,140,58,45-64
110,Felnac,116,151,176,308,177,45-64
111,Ghioroc,88,141,167,386,226,45-64
112,Graniceri,47,66,84,159,58,45-64
113,Gurahont,96,134,186,489,311,45-64
114,Halmagiu,70,90,136,401,275,45-64
115,Halmagel,29,53,64,153,96,45-64
116,Hasmas,47,82,91,186,139,45-64
117,Ignesti,21,39,45,114,45,45-64
118,Iratosu,47,79,109,234,151,45-64
119,Macea,124,133,234,448,254,45-64
120,Misca,75,119,149,319,204,45-64
121,Moneasa,35,38,64,197,91,45-64
122,Olari,56,89,95,183,65,45-64
123,Paulis,89,130,135,391,190,45-64
124,Oras Pecica,280,453,578,1413,617,45-64
125,Peregu Mare,42,65,103,175,109,45-64
126,Petris,39,72,70,187,85,45-64
127,Pilu,53,68,63,170,55,45-64
128,Plescuta,36,62,57,137,109,45-64
129,Savarsin,57,123,134,321,158,45-64
130,Secusigiu,99,176,202,438,212,45-64
131,Seleus,92,139,147,305,122,45-64
132,Semlac,76,96,151,303,146,45-64
133,Sintea Mare,89,132,177,340,167,45-64
134,Oras Santana,234,386,434,977,432,45-64
135,Socodor,68,129,132,313,186,45-64
136,Sagu,114,147,169,391,225,45-64
137,Seitin,60,111,132,264,106,45-64
138,Sepreus,44,87,113,245,129,45-64
139,Sicula,95,155,173,370,166,45-64
140,Silindia,26,42,57,97,87,45-64
141,Simand,101,160,153,303,117,45-64
142,Siria,135,234,263,664,305,45-64
143,Sistarovat,21,18,19,41,30,45-64
144,Taut,36,70,60,194,126,45-64
145,Tarnova,231,307,339,799,490,45-64
146,Varadia De Mures,36,55,69,185,112,45-64
147,Vinga,106,233,253,484,327,45-64
148,Varfurile,57,72,112,321,170,45-64
149,Zabrani,84,132,160,332,149,45-64
150,Zarand,85,124,142,234,115,45-64
151,Zerind,28,29,46,110,74,45-64
152,Zimandu Nou,119,182,267,551,270,45-64
153,Dorobanti,28,71,106,202,178,45-64
154,Frumuseni,80,106,135,256,108,45-64
155,Zadareni,64,124,146,279,148,45-64
156,Municipiul Pitesti,3307,5015,9298,18122,9542,45-64
157,Bascov,247,393,684,1291,567,45-64
158,Bradu,221,388,593,1094,416,45-64
159,Oras Mioveni,740,1563,1870,4439,1046,45-64
160,Maracineni,131,221,350,725,281,45-64
161,Oras Stefanesti,298,450,806,1741,772,45-64
162,Municipiul Campulung,523,710,1086,3891,2018,45-64
163,Valea Mare Pravat,132,197,192,456,168,45-64
164,Municipiul Curtea De Arges,564,790,1366,3636,1810,45-64
165,Oras Costesti,196,275,511,1106,483,45-64
166,Oras Topoloveni,203,361,503,1190,484,45-64
167,Albestii De Arges,145,234,275,698,325,45-64
168,Albestii De Muscel,45,60,63,162,121,45-64
169,Albota,134,178,285,580,276,45-64
170,Aninoasa,86,144,170,434,263,45-64
171,Arefu,60,60,72,228,95,45-64
172,Babana,88,108,159,397,226,45-64
173,Baiculesti,136,212,237,666,331,45-64
174,Balilesti,85,158,224,521,257,45-64
175,Beleti-Negresti,56,95,121,247,136,45-64
176,Berevoesti,87,160,159,359,158,45-64
177,Barla,114,146,234,513,358,45-64
178,Bogati,79,146,180,447,293,45-64
179,Boteni,70,111,138,376,240,45-64
180,Botesti,30,48,74,154,128,45-64
181,Bradulet,49,77,96,265,139,45-64
182,Budeasa,77,161,235,476,247,45-64
183,Bughea De Jos,78,135,150,301,161,45-64
184,Buzoesti,97,135,206,540,344,45-64
185,Caldararu,41,64,78,210,160,45-64
186,Calinesti,226,386,527,1058,466,45-64
187,Cateasca,131,120,198,425,251,45-64
188,Cepari,53,62,75,252,122,45-64
189,Cetateni,63,115,152,329,180,45-64
190,Cicanesti,51,73,118,259,135,45-64
191,Ciofrangeni,61,89,113,328,167,45-64
192,Ciomagesti,35,44,57,170,93,45-64
193,Cocu,36,41,92,195,122,45-64
194,Corbeni,134,196,262,580,280,45-64
195,Corbi,129,215,240,538,315,45-64
