,Judet,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
0,ab,Vadu MotilorValea LungaVidraVintu De JosLivezileBistraUnireaCutBucerdea GranoasaMunicipiul Alba IuliaCiugudOras AbrudMunicipiul AiudMunicipiul BlajOras CampeniOras CugirOras Ocna MuresMunicipiul SebesOras ZlatnaAlbacAlmasu MareArieseniAvram IancuAvram IancuOras Baia De AriesBerghinBistraUnireaBlandianaBuciumValea LungaCenadeCergauRadestiCeru-BacaintiLivezileCetatea De BaltaCiuruleasaCalnicCricauCraciunelu De JosDaia RomanaDostatFarauGalda De JosGarbovaGarda De SusUnireaSantimbruHopartaHoreaIghiuIntregaldeJidveiLivezileLopadea NouaLunca MuresuluiLupsaMetesMihaltScarisoaraMiraslauMogosCalnicNoslacLivezileOcolisOhabaPianuPoiana VaduluiVidraPonorPosagaRadestiRameteaRametRosia MontanaRosia De SecasSalciuaSalisteaSascioriScarisoaraSancelSantimbruSohodolVidraStremtSibotSonaSpringSugagOras TeiusUnirea,100766015.0,157215511.0,2286030.0,675752092.0,17735482.0,29525661.0
1,ag,DobrestiDomnestiDragoslaveleDraganuPopestiGodeniHarsestiHartiestiPopestiIzvoruLeordeniDarmanestiLerestiLunca CorbuluiMalureniMerisaniReceaMicestiMihaestiMioareleMirosiMorarestiCalinestiMosoaiaMozaceniStoenestiMusatestiNegrasiNucsoaraOarjaPietrosaniPoienarii De ArgesStefan Cel MarePoienarii De MuscelPoiana LaculuiDarmanestiPopestiPriboieniRatestiReceaRociuVladestiRucarSalatrucuSapataStefan Cel MareSloboziaSchitu GolestiSloboziaStalpeniCucaTitestiStoenestiStolniciSuseniStefan Cel MareSuiciTeiuTigveniTitestiUdaVulturestiUngheniValea DanuluiValea IasuluiVedeaVladestiRacaVulturestiBughea De SusVulturestiVladestiSuseniDomnestiStefan Cel MareStefan Cel MareDobrestiMihaestiAninoasaCalinestiMunicipiul PitestiBascovSuseniBraduOras MioveniMaracineniOras StefanestiMunicipiul CampulungValea Mare PravatMunicipiul Curtea De ArgesOras CostestiOras TopoloveniAlbestii De ArgesAlbestii De MuscelAlbotaAninoasaArefuUngheniBabanaBaiculestiPopestiBalilestiPietrosaniBeleti-NegrestiBerevoestiStoenestiBarlaBogatiOras StefanestiStefan Cel MareMaracineniBoteniBotestiBraduletDobrestiBudeasaBughea De JosBuzoestiPopestiCaldararuCalinestiCateascaStoenestiBotestiCepariCetateniBotestiCicanestiCiofrangeniVulturestiCiomagestiVedeaCocuMihaestiCorbeniVedeaCorbiCosestiCotmeanaCucaAninoasaDavidestiReceaDambovicioaraDarmanesti,234683007.0,2724578.0,199525.0,288616681.0,10678077.0,21267928.0
2,ar,FantaneleMunicipiul AradFantaneleLivadaSofroneaVladimirescuOras Chisineu-CrisOras CurticiOras IneuOras LipovaOras NadlacOras PancotaOras SebisAlmasApateuArchisBataBeliuBirchisBarsaBarzavaBocsigFantaneleBraziiButeniFantaneleCarandCermeiFantaneleChisindiaConopCovasintCraivaDeznaDieciUsusauFelnacGhiorocGraniceriGurahontHalmagiuBraziiHalmagelHasmasIgnestiIratosuMaceaMiscaMoneasaOlariPaulisOras PecicaPeregu MarePetrisPiluPlescutaSavarsinSecusigiuSeleusSemlacSintea MareOras SantanaSocodorSaguSeitinSepreusSiculaSilindiaSimandSiriaSistarovatTautTarnovaVaradia De MuresVingaVarfurileZabraniZarandZerindZimandu NouDorobantiFrumuseniZadareniOlariTarnovaFantaneleFantanele,492348683.0,12994009.0,418837.0,111806410.0,41711037.0,35922919.0
3,b,Municipiul Bucuresti,2516831055.0,15871233.0,13136115.0,216949664.0,49321755.0,69409930.0
4,bc,PoduriRacovaRacaciuniRachitoasaMargineniRosioriSascutSanduleniSaucestiScorteniSecuieniSolontStanisestiStrugariBuciumiTamasiTatarastiTargu TrotusTraianSecuieniUngureniUrechestiValea SeacaStefan Cel MareVultureniValea SeacaZemesSarataBuciumiGioseniOdobestiPrajestiItestiStefan Cel MarePancestiStefan Cel MareVultureniOdobestiRosioriTraianColonestiSecuieniMunicipiul BacauHemeiusLetea VecheMaguraMargineniScorteniMunicipiul OnestiGura VaiiStefan Cel MareOras BuhusiOras ComanestiStefan Cel MareMunicipiul MoinestiOras Slanic-MoldovaOras Targu OcnaAgasArdeoaniAsauBalcaniBeresti-BistritaBeresti-TazlauBerzuntiBarsanestiNicolae BalcescuBlagestiBogdanestiBrusturoasaBuhociCasinCaiutiClejaColonestiCorbascaCotofanestiDamienestiOras DarmanestiMaguraDealu MoriiDofteanaNicolae BalcescuFaraoaniFilipeniFilipestiUrechestiGaiceanaGhimes-FagetMaguraGarleniStefan Cel MareGlavanestiHelegiuHorgestiUngureniHuruiestiTraianIzvoru BerheciuluiLipovaLiveziBlagestiLuizi-CalugaraMagirestiLiveziBogdanestiManastirea CasinMotoseniNegriTraianNicolae BalcescuOituzOncestiOrbeniPalancaRosioriParavaTraianParinceaBogdanestiNicolae BalcescuRosioriPancestiOncestiPargarestiParjolPlopanaPodu Turcului,312579723.0,24626247.0,2268525.0,108488579.0,239769271.0,169815903.0
5,bh,DobrestiPopestiPopestiRosioriDraganestiPopestiDraganestiMunicipiul OradeaSanmartinSantandreiOras AlesdSanmartinAstileuMunicipiul BeiusDraganestiOras SteiMunicipiul MarghitaOras NucetMunicipiul SalontaOras VascauPietroasaAbramAvram IancuAbramutAuseuAvram IancuViisoaraBalcBatarRosioriBihariaViisoaraBoianu MareBorodBorsBratcaBrusturiBudureasaLuncaSimianBuduslauBulzBuntestiRemeteaCabestiCapalnaCarpinetCefaCeicaCetariuSanmartinCherechiuChislazCiuhoiCiumeghiuCampaniCociuba MareCopacelCristioru De JosCurateleCurtuiseniDernaDiosigMadarasDobrestiDraganestiDragestiFinisGirisu De CrisHidiselu De SusHolodHusasau De TincaLuncaIneuLazuri De BeiusLazareniLugasu De JosLuncaMadarasMagestiViisoaraNojoridOlceaLuncaOsorheiPietroasaMadarasPocolaPomezeuPopestiRabaganiRemeteaRosiaRieniRosiaSacadatOras SacueniSalaceaSalardSambataSarbiDobrestiSpinusSuplacu De BarcauSimianSinteuSoimiPopestiViisoaraSuncuiusTarceaTarcaiaTauteuTileagdTincaBrusturiTulcaTetcheaUileacu De BeiusVadu CrisuluiOras Valea Lui MihaiViisoaraViisoaraVarciorogTamaseuPaleuSannicolau RomanRosioriGepiuToboliuRosiori,614665798.0,3385875.0,1546957.0,311095635.0,39514562.0,29000391.0
6,bn,BudestiCaianu MicCetateCiceu-GiurgestiChiochisChiuzaCosbucDumitraFeldruGalatii BistriteiIlva MareIlva MicaJosenii BargauluiBranisteaLechintaLesuLivezileLunca IlveiMaieruMateiMagura IlveiMariseluBudestiMicestii De CampieMilasMonorNimigeaNuseniParvaPetru RaresPrundu BargauluiRebraRebrisoaraRodnaRomuliSalvaSilivasu De CampieSanmihaiu De CampieSpermezeuSantSieuSieu-MagherusBranisteaSieu-OdorheiSieutSintereagTeacaTelciuTiha BargauluiTarlisuaUriuUrmenisZagraLivezileNegrilestiBudestiLivezileLivezileCetateNegrilestiBranisteaSieuNegrilestiDumitritaPoiana IlveiMunicipiul BistritaOras BecleanRuncu SalveiCiceu- MihaiestiOras NasaudOras Sangeorz-BaiBistrita BargauluiBranisteaBudacu De Jos,23622491.0,17464799.0,758437.0,118183040.0,1809748.0,3963133.0
7,br,RosioriRacovitaUnireaTraianSutestiVictoriaMunicipiul BrailaChiscaniOras FaureiSurdila-GreciBaraganulBertestii De JosBordei VerdeCiocileCiresuDudestiFrecateiGalbenuGemeneleGradisteaGropeniOras IancaOras InsurateiJirlauMarasuRacovitaMaxineniMircea VodaMovila MiresiiRacovitaRamniceluRomanuRosioriSalcia TudorScortaru NouSilisteaStancutaSurdila-GaiseancaSutestiTichilestiTraianTudor VladimirescuTufestiUlmuUnireaVadeniVictoriaVisaniViziruGradisteaZavoaiaTudor VladimirescuCazasuUlmuUnireaCiresuFrecateiMircea VodaGradisteaSilisteaRacovitaGradisteaTraianSilisteaTraianRosioriTraianRosioriRamniceluUnirea,1193548620.0,9157647.0,190712.0,245177247.0,64337325.0,64332160.0
8,bt,RomanestiDraguseniCandestiUngureniVladeniDraguseniCorniDraguseniLoznaAlbestiViisoaraIbanestiViisoaraMunicipiul BotosaniCurtestiRachitiStauceniMihaileniOras DarabaniMunicipiul DorohoiOras SaveniLuncaAlbestiIbanestiAvrameniBaluseniAlbestiBraestiBroscautiOras BuceceaCalarasiConcestiCopalauCordareniCorlateniCorniCotuscaCristestiCristinestiDerscaPaltinisDangeniDobarceniDraguseniDurnestiOras FlamanziFrumusicaBraestiGeorge EnescuVladeniGorbanestiHavarnaHanestiHiliseu-HoriaHlipiceniHudestiIbanestiLeordaLuncaManoleasaOras StefanestiMihai EminescuLuncaMihaileniMihalaseniViisoaraMileancaMitocNicseniLuncaPaltinisPomarlaMihaileniPrajeniRadauti-PrutRauseniBraestiRipiceniRomaCalarasiRomanestiSanta MareSuharauSulitaSendriceniAlbestiOras StefanestiStiubieniTodireniCristestiTrusestiTudoraUngureniUnteniVaculestiViisoaraVarfu CampuluiVladeniVlasinestiVorniceniVoronaLoznaDimacheniCandestiCosulaBlandestiAdaseniCalarasiCandestiViisoaraViisoaraVladeniCristestiAlbesti,348451231.0,2178738.0,0.0,69468520.0,58155399.0,22734551.0
9,bv,BunestiFundataHalchiuHarmanHarseniHoghizHomorodJibertLisaMaierusMandraMoieciuOrmenisParauPoiana MaruluiPrejmerRacosReceaSercaiaSincaSanpetruSoarsTarlungeniTeliuTicusuUceaUngraVama BuzauluiVisteaVoilaVulcanSinca NouaCrizbavSambata De SusHolbavDragusAugustinDumbravitaReceaComanaComanaCristianBunestiLisaMunicipiul BrasovOras GhimbavMunicipiul CodleaMunicipiul FagarasOras PredealOras RasnovOras RupeaMunicipiul SaceleOras VictoriaOras ZarnestiApataBecleanDumbravitaBodBranBudilaBunestiCataCincuComanaReceaCristianDumbravitaFeldioara,80866197.0,5703015.0,20932953.0,626220718.0,101184584.0,51482320.0
