,Judet,Pondere_analfabeti
19,gr,0.043546831808344226
23,il,0.03864378577132174
36,tr,0.0307317186911872
38,tl,0.02729901313721793
15,cv,0.02567652932956438
40,vs,0.025327661999348747
41,vn,0.025157113508350325
27,mh,0.02343205616773431
7,br,0.021886491333426565
25,if,0.02133125311024734
28,ms,0.021312667720011034
32,sj,0.02118849618849619
18,gl,0.02071238192392125
16,db,0.020423459344874578
3,bc,0.020338638563038
6,bt,0.02033673304192974
10,bz,0.020091483003141782
5,bn,0.018066236694554663
33,sm,0.017809183493890168
30,ot,0.016993292442778155
24,is,0.015873238572092493
17,dj,0.015846515955991024
14,ct,0.015326931040155197
20,gj,0.015241380386770514
21,hr,0.013955358416663424
39,vl,0.013289968434993485
29,nt,0.013139730317631788
0,ab,0.012721754439071798
31,ph,0.01266659027921999
35,sv,0.012293640156346786
1,ar,0.012028044982433532
12,cs,0.011710224228140262
26,mm,0.01150668550929449
37,tm,0.010984557071285159
22,hd,0.01066444223427123
11,cl,0.00980029212409216
2,ag,0.00980029212409216
34,sb,0.00974313238343986
13,cj,0.009179410091511542
4,bh,0.008915471765329034
8,bv,0.008901858596325475
9,b,0.002236218849678853
