,Siruta,Localitate,LT
1,1071,Ciugud,53.765060240963855
12,2381,Arieseni,66.398243045388
20,3805,Cergau,50.705329153605014
21,3841,Ceru-Bacainti,77.93427230046949
23,4008,Ciuruleasa,61.904761904761905
29,4302,Farau,54.32
34,4767,Horea,57.33578882750153
38,5167,Livezile,56.657223796033996
47,6119,Ocolis,68.07610993657505
48,6164,Ohaba,58.22306238185255
55,6627,Ramet,56.55021834061136
59,7044,Salistea,51.42255005268704
61,7197,Scarisoara,54.08
72,8229,Vadu Motilor,51.956323930846224
92,9832,Archis,51.241721854304636
99,10239,Brazii,52.18718209562564
108,10701,Dieci,54.23728813559322
116,11236,Hasmas,54.9949545913219
121,11478,Moneasa,55.051813471502584
200,16329,Dambovicioara,62.483311081441926
203,16454,Domnesti,50.811437403400305
208,16659,Hartiesti,65.18475750577367
224,17771,Nucsoara,64.53333333333333
234,18475,Rociu,60.11787819253438
237,18581,Sapata,56.86131386861314
255,20048,Raca,58.82352941176471
294,22488,Filipeni,62.86549707602339
359,26920,Oras Nucet,55.850144092219026
361,27007,Oras Vascau,51.28073770491803
371,27631,Bors,50.05494505494505
376,27935,Bulz,51.73836181496759
377,27971,Buntesti,61.846069569980834
379,28139,Capalna,51.59663865546219
389,28763,Cociuba Mare,56.98030634573305
390,28816,Copacel,52.458033573141485
391,28889,Cristioru De Jos,51.69491525423729
397,29243,Draganesti,52.08591491119372
405,29760,Lazuri De Beius,55.381165919282516
406,29813,Lazareni,52.118644067796616
407,29902,Lugasu De Jos,52.307692307692314
408,29948,Lunca,59.28196147110333
415,30416,Pocola,59.32773109243698
416,30470,Pomezeu,51.392757660167135
419,30719,Remetea,55.94882729211087
420,30773,Rieni,66.4860358482701
421,30844,Rosia,57.335406946604465
424,30988,Salacea,56.07779578606159
426,31057,Sambata,60.9375
427,31128,Sarbi,57.03245749613601
428,31208,Spinus,55.62632696390658
435,31609,Tarcaia,57.028360049321826
444,32045,Viisoara,63.078375826251175
445,32090,Varciorog,50.558312655086844
448,32179,Sannicolau Roman,52.002256063169774
494,34477,Sanmihaiu De Campie,55.04587155963303
525,36649,Cordareni,54.81111903064861
639,42449,Sinca Noua,65.6832298136646
653,43019,Ciresu,59.348198970840485
692,44934,Balta Alba,51.21703853955375
697,45334,Blajani,65.07352941176471
706,45888,Canesti,61.99324324324324
709,46108,Chiliile,64.1025641025641
711,46251,Cilibia,51.88933873144399
714,46439,Colti,51.57004830917874
734,47818,Murgesti,54.58276333789329
739,48165,Pardosi,75.07987220447284
757,49439,Scutelnici,54.0
771,50399,Valcelele,67.13780918727915
773,50479,Ziduri,62.86135693215339
780,50987,Ocna De Fier,55.42372881355932
785,51243,Armenis,52.695829094608335
793,51626,Brebu,58.21989528795811
815,52954,Goruia,51.52439024390244
818,53069,Lapusnicel,62.53196930946292
819,53103,Lapusnicu Mare,58.463832960477255
826,53345,Naidas,50.349650349650354
829,53489,Coronini,55.00000000000001
842,54270,Teregova,51.7934446505875
852,54699,Zorlentu Mare,76.94954128440367
871,56014,Belis,51.228389444949954
874,56265,Borsa,52.75519421860885
887,57225,Ciurila,60.586319218241044
888,57314,Catcau,56.81206246634356
890,57449,Cornesti,52.28699551569507
916,59130,Recea-Cristur,81.5228426395939
919,59327,Savadisla,50.14318442153494
921,59434,Sancraiu,71.22137404580153
922,59498,Sanmartin,71.00802854594113
929,59942,Vad,61.98243412797992
952,61167,Cerchezu,51.343836886005555
993,63161,Dumbraveni,51.3126491646778
1002,63326,Gradina,51.894374282433986
1048,65154,Estelnic,63.18742985409652
1078,66955,Cornatelu,56.860902255639104
1125,69964,Bucovat,51.578947368421055
1126,70094,Isalnita,56.29082646975291
1134,70566,Almaj,54.23297262889879
1136,70673,Amarastii De Sus,66.66666666666666
1137,70726,Apele Vii,57.20288115246098
1142,70968,Botosesti-Paia,81.63636363636364
1143,70986,Brabova,65.33203125
1150,71518,Caraula,53.62167795726941
1152,71572,Castranova,53.42789598108747
1156,71723,Cernatesti,50.650289017341045
1160,71885,Cosoveni,56.375838926174495
1161,71910,Cotofenii Din Dos,54.33403805496829
1167,72150,Dragotesti,55.87544065804936
1171,72409,Ghercesti,72.98335467349551
1176,72604,Gogosu,98.66962305986696
1179,72819,Grecesti,56.13899613899614
1180,72882,Izvoare,50.58139534883721
1183,72980,Macesu De Jos,57.07502374169041
1184,73013,Macesu De Sus,53.35365853658537
1188,73246,Mischii,71.37907137907138
1191,73371,Murgasi,57.87831513260531
1195,73594,Perisor,54.45180279617365
1197,73665,Piscu Vechi,56.499535747446615
1200,73772,Predesti,61.9928400954654
1202,73905,Rast,51.438596491228076
1207,74108,Seaca De Camp,77.58271438217422
1208,74135,Seaca De Padure,65.06849315068493
1209,74171,Secu,74.17380660954713
1213,74359,Terpezita,71.47487844408428
1219,74616,Vela,68.19407008086253
1224,74859,Carcea,54.007249295207416
1225,74867,Carna,67.13483146067416
1229,74907,Ghidici,52.265372168284784
1230,74915,Ghindeni,54.48051948051948
1232,74931,Plesoi,73.79310344827587
1233,74949,Rojiste,69.62406015037594
1290,77377,Tepu,53.709349593495936
1293,77509,Varlezi,53.026315789473685
1297,77587,Poiana,54.03111739745403
1311,78668,Arcani,58.602150537634415
1313,78748,Balanesti,57.58754863813229
1327,79736,Calnic,58.447238928376166
1333,80285,Farcasesti,57.630979498861045
1334,80365,Glogova,50.35143769968051
1339,80677,Lelesti,53.288590604026844
1344,80980,Negomir,56.62438336856942
1351,81576,Runcu,54.56642066420664
1352,81656,Samarinesti,60.234321157822194
1353,81754,Sacelu,51.36702568351284
1364,82617,Oras Turceni,51.84797246745474
1374,83375,Pauleni-Ciuc,50.250626566416045
1388,84102,Carta,50.99513489606369
1391,84237,Danesti,57.026587086272386
1410,85412,Remetea,56.55880643286185
1414,85626,Siculeni,61.04651162790697
1418,85840,Sansimion,55.23297491039426
1428,86438,Madaras,58.671789242590556
1434,86495,Racu,59.3050193050193
1436,86519,Santimbru,56.61252900232019
1438,86749,Carjiti,58.46153846153847
1448,87246,Banita,52.834008097166
1456,87843,Balsa,64.4640234948605
1457,87996,Baru,55.54577464788733
1458,88047,Bacia,50.25575447570333
1460,88216,Batrana,69.0721649484536
1462,88350,Blajeni,50.7531865585168
1463,88449,Bosorod,50.404480398257625
1465,88644,Bretea Romana,55.37948290241869
1466,88788,Buces,50.19893899204244
1467,88868,Bucuresci,65.38461538461539
1468,88920,Bulzestii De Sus,82.95964125560538
1469,89026,Bunila,77.96052631578947
1471,89151,Cerbal,120.97186700767264
1473,89348,Densus,54.13290113452188
1479,89954,Lapugiu De Jos,51.73383317713215
1480,90066,Lelese,51.92307692307693
1483,90262,Martinesti,59.118727050183594
1485,90431,Pestisu Mic,64.43089430894308
1489,90805,Ribita,60.68222621184919
1492,91054,Sarmizegetusa,72.65135699373695
1493,91116,Salasu De Sus,55.92004100461302
1495,91330,Soimus,51.34138162307177
1496,91447,Tomesti,53.80047505938242
1497,91535,Toplita,61.03286384976526
1498,91624,Totesti,57.39528795811518
1502,91937,Valisoara,51.79282868525896
1504,92097,Vorta,60.416666666666664
1511,92783,Albesti,55.50847457627118
1546,94125,Alexandru Odobescu,58.85057471264368
1559,94606,Ulmu,66.7605633802817
1562,94731,Valcelele,57.92151162790697
1586,96334,Coarnele Caprei,55.02958579881657
1687,101378,Bucsani,52.28018971178402
1689,101519,Bulbucata,69.5852534562212
1700,101984,Clejani,60.64437194127243
1702,102071,Colibasi,66.82908545727136
1703,102106,Comana,51.16585182399398
