,Siruta,Localitate,Plante
0,32768,Budesti,0.0
1,49153,Sahateni,0.0
2,57350,Cojocna,0.0
3,90119,Lunca Cernii De Jos,0.0
4,73736,Poiana Mare,0.0
5,147465,Bunesti,0.0
6,155662,Bara,0.0
7,139287,Valea Vinului,412773.0
8,114710,Oras Ludus,0.0
9,122908,Grumazesti,0.0
10,131103,Oras Breaza,0.0
11,40991,Fundata,0.0
12,98337,Plugari,0.0
13,8229,Vadu Motilor,0.0
14,16427,Dobresti,7750.0
15,32811,Caianu Mic,0.0
16,73772,Predesti,0.0
17,172082,Pausesti-Maglasi,0.0
18,49206,Sapoca,0.0
19,24631,Poduri,0.0
20,163903,Gagesti,0.0
21,106559,Municipiul Sighetu Marmatiei,0.0
22,139330,Vama,0.0
23,81987,Schela,0.0
24,98373,Oras Podu Iloaiei,150858.0
25,147526,Cacica,0.0
26,16454,Domnesti,0.0
27,65609,Oras Fieni,0.0
28,122953,Hangu,0.0
29,41033,Halchiu,0.0
30,155724,Beba Veche,0.0
31,49233,Sarulesti,0.0
32,16472,Dragoslavele,0.0
33,139358,Vetis,0.0
34,90208,Luncoiu De Jos,0.0
35,57449,Cornesti,0.0
36,65645,Motaieni,0.0
37,155760,Becicherecu Mic,0.0
38,32884,Cetate,911828.0
39,114809,Municipiul Reghin,17191460.0
40,16506,Draganu,0.0
41,172153,Perisani,0.0
42,73852,Radovan,0.0
43,106620,Sarasau,0.0
44,163967,Gherghesti,0.0
45,82047,Slivilesti,0.0
46,147580,Calafindesti,0.0
47,41088,Harman,28226.0
48,139394,Viile Satu Mare,0.0
49,98435,Popesti,0.0
50,123013,Icusesti,0.0
51,24711,Racova,0.0
52,131210,Oras Busteni,0.0
53,65681,Oras Gaesti,0.0
54,90262,Martinesti,0.0
55,155797,Belint,0.0
56,41113,Harseni,0.0
57,106648,Vadu Izei,0.0
58,49313,Scortoasa,0.0
59,8354,Valea Lunga,0.0
60,16551,Godeni,0.0
61,114854,Oras Sovata,0.0
62,65707,Gura Foii,734560.0
63,73905,Rast,0.0
64,147633,Oras Cajvana,0.0
65,131256,Municipiul Campina,114723.0
66,32955,Ciceu-Giurgesti,0.0
67,106684,Oras Baia Sprie,2537.0
68,24766,Racaciuni,0.0
69,73923,Robanesti,0.0
70,155840,Bethausen,0.0
71,98505,Popricani,0.0
72,131274,Poiana Campina,0.0
73,57546,Dabaca,0.0
74,147660,Ilisesti,0.0
75,41177,Hoghiz,0.0
76,65752,Petresti,0.0
77,82136,Stanesti,0.0
78,164062,Garceni,0.0
79,123102,Ion Creanga,0.0
80,16613,Harsesti,0.0
81,90342,Orastioara De Sus,0.0
82,8425,Vidra,0.0
83,114925,Municipiul Tarnaveni,0.0
84,57582,Feleacu,2943.0
85,172279,Pesceana,0.0
86,33015,Chiochis,0.0
87,106746,Oras Borsa,0.0
88,147713,Carlibaba,0.0
89,24837,Rachitoasa,0.0
90,155911,Biled,0.0
91,131336,Oras Comarnic,0.0
92,73996,Sadova,0.0
93,16659,Hartiesti,0.0
94,114970,Acatari,0.0
95,49439,Scutelnici,0.0
96,106782,Oras Cavnic,0.0
97,41248,Homorod,0.0
98,123175,Margineni,0.0
99,164133,Grivita,0.0
100,98603,Prisacani,0.0
101,57644,Fizesu Gherlii,0.0
102,74028,Salcuta,0.0
103,65841,Municipiul Moreni,0.0
104,172340,Pietrari,0.0
105,155957,Barna,0.0
106,90431,Pestisu Mic,0.0
107,106817,Oras Targu Lapus,0.0
108,82243,Stejari,0.0
109,41284,Jibert,0.0
110,147786,Cornu Luncii,0.0
111,49484,Siriu,0.0
112,65869,Iedera,0.0
113,131407,Oras Mizil,0.0
114,74073,Scaesti,0.0
115,98649,Probota,0.0
116,172377,Popesti,0.0
117,123228,Moldoveni,0.0
118,33122,Chiuza,0.0
119,16739,Izvoru,0.0
120,164197,Hoceni,0.0
121,57706,Floresti,0.0
122,131443,Oras Plopeni,0.0
123,16757,Leordeni,195595.0
124,123255,Oniceni,0.0
125,98685,Raducaneni,0.0
126,74108,Seaca De Camp,0.0
127,65921,Oras Pucioasa,0.0
128,156035,Bogda,0.0
129,41346,Lisa,345203.0
130,115076,Adamus,0.0
131,131461,Dumbravesti,0.0
132,49545,Smeeni,0.0
133,82314,Stoina,0.0
134,57742,Frata,69764.0
135,74135,Seaca De Padure,0.0
136,33177,Cosbuc,0.0
137,41382,Maierus,0.0
138,24999,Rosiori,0.0
139,90538,Pui,0.0
140,172457,Prundeni,0.0
141,147884,Crucea,0.0
142,33202,Dumitra,0.0
143,98738,Romanesti,0.0
144,164277,Dimitrie Cantemir,0.0
145,74171,Secu,0.0
146,139704,Municipiul Zalau,330523.0
147,156106,Boldur,0.0
148,41417,Mandra,0.0
149,115147,Alunis,0.0
150,131540,Oras Sinaia,0.0
151,98774,Ruginoasa,0.0
152,66009,Branesti,0.0
153,49625,Stalpu,0.0
154,82396,Telesti,0.0
155,139740,Oras Cehu Silvaniei,0.0
156,172509,Racovita,0.0
157,33248,Feldru,0.0
158,106979,Oras Viseu De Sus,0.0
159,147937,Darmanesti,0.0
160,57831,Geaca,0.0
161,123371,Pastraveni,0.0
162,49643,Tisau,510075.0
163,25068,Sascut,0.0
164,115183,Apold,517631.0
165,74224,Silistea Crucii,0.0
166,164339,Iana,0.0
167,156151,Brestovat,0.0
168,107001,Ardusat,0.0
169,33275,Galatii Bistritei,232568.0
170,131577,Oras Slanic,0.0
171,41471,Moieciu,0.0
172,82430,Oras Tismana,0.0
173,74242,Sopot,0.0
174,98827,Schitu Duca,0.0
175,16908,Leresti,0.0
176,66081,Oras Titu,0.0
177,123424,Petricani,0.0
178,139811,Oras Jibou,13332.0
179,148006,Oras Dolhasca,0.0
180,115236,Atintis,0.0
181,90663,Rapoltu Mare,0.0
182,107047,Arinis,0.0
183,131620,Oras Urlati,4854838.0
184,172581,Roesti,0.0
185,164393,Ivanesti,0.0
186,57902,Gilau,0.0
187,16944,Lunca Corbului,0.0
188,156213,Carpinis,0.0
189,33337,Ilva Mare,0.0
190,25148,Sanduleni,0.0
191,41541,Ormenis,0.0
192,107083,Asuaju De Sus,0.0
193,74322,Teasc,0.0
194,33364,Ilva Mica,0.0
195,123479,Piatra Soimului,103772.0
196,57948,Garbau,0.0
197,156259,Cenad,0.0
198,90725,Rachitova,0.0
199,98916,Scanteia,0.0
200,33382,Josenii Bargaului,0.0
201,49769,Topliceni,4167.0
202,66152,Branistea,0.0
203,41578,Parau,0.0
204,115307,Bahnea,0.0
205,139884,Oras Simleu Silvaniei,866403.0
206,107118,Baita De Sub Codru,0.0
207,74359,Terpezita,0.0
208,156277,Cenei,0.0
209,8826,Vintu De Jos,45243.0
210,82555,Turburea,0.0
211,123521,Pipirig,0.0
212,148097,Dolhesti,0.0
213,25228,Saucesti,0.0
214,107154,Baiut,0.0
215,41621,Poiana Marului,0.0
216,156311,Cheveresu Mare,0.0
217,66198,Baleni,0.0
218,58008,Iara,0.0
219,172698,Rosiile,0.0
220,17049,Malureni,0.0
221,33435,Lechinta,2200289.0
222,148131,Dorna-Arini,0.0
223,139937,Agrij,0.0
224,74411,Teslui,0.0
225,66223,Barbuletu,0.0
226,90805,Ribita,0.0
227,98998,Scobinti,0.0
228,107190,Basesti,0.0
229,82617,Oras Turceni,0.0
230,49849,Tintesti,0.0
231,115389,Band,0.0
232,164543,Ivesti,0.0
233,41667,Prejmer,0.0
234,156357,Oras Ciacova,0.0
235,25291,Scorteni,0.0
236,139982,Almasu,0.0
237,17101,Merisani,0.0
238,123601,Pangarati,0.0
239,107234,Bicaz,0.0
240,41701,Racos,0.0
241,49894,Ulmeni,0.0
242,148202,Dorna Candrenilor,0.0
243,33514,Lesu,0.0
244,131817,Oras Valenii De Munte,0.0
245,99058,Sinesti,0.0
246,164598,Laza,0.0
247,82680,Tantareni,0.0
248,131835,Gura Vitioarei,0.0
249,90878,Rau De Mori,0.0
250,33541,Livezile,0.0
251,107270,Bistra,0.0
252,41738,Recea,121704.0
253,74509,Tuglui,0.0
254,172812,Runcu,0.0
255,25362,Secuieni,0.0
256,156437,Comlosu Mare,0.0
257,66330,Bezdead,0.0
258,123674,Podoleni,0.0
259,99101,Siretel,0.0
260,58142,Iclod,0.0
261,49956,Vadu Pasii,0.0
262,74536,Unirea,0.0
263,82733,Urdari,0.0
264,107314,Barsana,0.0
265,140084,Babeni,0.0
266,17209,Micesti,0.0
267,131899,Adunati,0.0
268,9019,Cut,0.0
269,74554,Urzicuta,0.0
