,Siruta,Localitate,Total_cif_afaceri
0,32768,Budesti,0.0
1,49153,Sahateni,390087.0
2,57350,Cojocna,1670212.0
3,90119,Lunca Cernii De Jos,0.0
4,73736,Poiana Mare,2854738.0
5,147465,Bunesti,0.0
6,155662,Bara,626724.0
7,139287,Valea Vinului,412773.0
8,114710,Oras Ludus,4992204.0
9,122908,Grumazesti,99372.0
10,131103,Oras Breaza,3247024.0
11,40991,Fundata,0.0
12,98337,Plugari,10404510.0
13,8229,Vadu Motilor,0.0
14,16427,Dobresti,7750.0
15,32811,Caianu Mic,268501.0
16,73772,Predesti,248744.0
17,172082,Pausesti-Maglasi,9636.0
18,49206,Sapoca,62110.0
19,24631,Poduri,11622.0
20,163903,Gagesti,2728717.0
21,106559,Municipiul Sighetu Marmatiei,293767.0
22,139330,Vama,1338307.0
23,81987,Schela,2109805.0
24,98373,Oras Podu Iloaiei,11929983.0
25,147526,Cacica,0.0
26,16454,Domnesti,342633.0
27,65609,Oras Fieni,84629.0
28,122953,Hangu,0.0
29,41033,Halchiu,22944522.0
30,155724,Beba Veche,10985209.0
31,49233,Sarulesti,234822.0
32,16472,Dragoslavele,0.0
33,139358,Vetis,371932.0
34,90208,Luncoiu De Jos,0.0
35,57449,Cornesti,0.0
36,65645,Motaieni,0.0
37,155760,Becicherecu Mic,18633697.0
38,32884,Cetate,1893279.0
39,114809,Municipiul Reghin,42190056.0
40,16506,Draganu,0.0
41,172153,Perisani,16176.0
42,73852,Radovan,959123.0
43,106620,Sarasau,0.0
44,163967,Gherghesti,0.0
45,82047,Slivilesti,0.0
46,147580,Calafindesti,227506.0
47,41088,Harman,11082212.0
48,139394,Viile Satu Mare,1079110.0
49,98435,Popesti,276033.0
50,123013,Icusesti,1166143.0
51,24711,Racova,504498.0
52,131210,Oras Busteni,0.0
53,65681,Oras Gaesti,2487165.0
54,90262,Martinesti,0.0
55,155797,Belint,1496814.0
56,41113,Harseni,141272.0
57,106648,Vadu Izei,0.0
58,49313,Scortoasa,0.0
59,8354,Valea Lunga,71934.0
60,16551,Godeni,13890.0
61,114854,Oras Sovata,0.0
62,65707,Gura Foii,800694.0
63,73905,Rast,2574577.0
64,147633,Oras Cajvana,0.0
65,131256,Municipiul Campina,885259.0
66,32955,Ciceu-Giurgesti,622846.0
67,106684,Oras Baia Sprie,348735.0
68,24766,Racaciuni,2488649.0
69,73923,Robanesti,11558258.0
70,155840,Bethausen,0.0
71,98505,Popricani,10786614.0
72,131274,Poiana Campina,0.0
73,57546,Dabaca,37006.0
74,147660,Ilisesti,26110.0
75,41177,Hoghiz,266574.0
76,65752,Petresti,818813.0
77,82136,Stanesti,473070.0
78,164062,Garceni,0.0
79,123102,Ion Creanga,632969.0
80,16613,Harsesti,3095799.0
81,90342,Orastioara De Sus,2465639.0
82,8425,Vidra,181719.0
83,114925,Municipiul Tarnaveni,3433121.0
84,57582,Feleacu,1880359.0
85,172279,Pesceana,0.0
86,33015,Chiochis,2250.0
87,106746,Oras Borsa,61258.0
88,147713,Carlibaba,0.0
89,24837,Rachitoasa,0.0
90,155911,Biled,8623112.0
91,131336,Oras Comarnic,0.0
92,73996,Sadova,435718.0
93,16659,Hartiesti,0.0
94,114970,Acatari,797724.0
95,49439,Scutelnici,10253435.0
96,106782,Oras Cavnic,0.0
97,41248,Homorod,0.0
98,123175,Margineni,0.0
99,164133,Grivita,780875.0
100,98603,Prisacani,16000.0
101,57644,Fizesu Gherlii,1989778.0
102,74028,Salcuta,370789.0
103,65841,Municipiul Moreni,759694.0
104,172340,Pietrari,0.0
105,155957,Barna,0.0
106,90431,Pestisu Mic,0.0
107,106817,Oras Targu Lapus,0.0
108,82243,Stejari,0.0
109,41284,Jibert,0.0
110,147786,Cornu Luncii,0.0
111,49484,Siriu,0.0
112,65869,Iedera,0.0
113,131407,Oras Mizil,69451340.0
114,74073,Scaesti,696326.0
115,98649,Probota,743297.0
116,172377,Popesti,151918.0
117,123228,Moldoveni,5416575.0
118,33122,Chiuza,0.0
119,16739,Izvoru,2007978.0
120,164197,Hoceni,0.0
121,57706,Floresti,63989208.0
122,131443,Oras Plopeni,0.0
123,16757,Leordeni,1119772.0
124,123255,Oniceni,0.0
125,98685,Raducaneni,4039602.0
126,74108,Seaca De Camp,29233.0
127,65921,Oras Pucioasa,31254.0
128,156035,Bogda,0.0
129,41346,Lisa,345203.0
130,115076,Adamus,1739909.0
131,131461,Dumbravesti,0.0
132,49545,Smeeni,10704074.0
133,82314,Stoina,38723.0
134,57742,Frata,1140494.0
135,74135,Seaca De Padure,1827818.0
136,33177,Cosbuc,0.0
137,41382,Maierus,0.0
138,24999,Rosiori,55377.0
139,90538,Pui,308755.0
140,172457,Prundeni,688.0
141,147884,Crucea,0.0
142,33202,Dumitra,33870.0
143,98738,Romanesti,5534684.0
144,164277,Dimitrie Cantemir,0.0
145,74171,Secu,57447.0
146,139704,Municipiul Zalau,120091884.0
147,156106,Boldur,6934327.0
148,41417,Mandra,0.0
149,115147,Alunis,0.0
150,131540,Oras Sinaia,1973.0
151,98774,Ruginoasa,3126755.0
152,66009,Branesti,0.0
153,49625,Stalpu,9918928.0
154,82396,Telesti,0.0
155,139740,Oras Cehu Silvaniei,19882740.0
156,172509,Racovita,0.0
157,33248,Feldru,8873.0
158,106979,Oras Viseu De Sus,613.0
159,147937,Darmanesti,0.0
160,57831,Geaca,0.0
161,123371,Pastraveni,468257.0
162,49643,Tisau,511861.0
163,25068,Sascut,13751828.0
164,115183,Apold,631214.0
165,74224,Silistea Crucii,3122751.0
166,164339,Iana,0.0
167,156151,Brestovat,983270.0
168,107001,Ardusat,15609326.0
169,33275,Galatii Bistritei,250570.0
170,131577,Oras Slanic,1106153.0
171,41471,Moieciu,0.0
172,82430,Oras Tismana,20890.0
173,74242,Sopot,2390958.0
174,98827,Schitu Duca,0.0
175,16908,Leresti,86592.0
176,66081,Oras Titu,641350.0
177,123424,Petricani,368561.0
178,139811,Oras Jibou,531308.0
179,148006,Oras Dolhasca,255452.0
180,115236,Atintis,911494.0
181,90663,Rapoltu Mare,70555.0
182,107047,Arinis,155445.0
183,131620,Oras Urlati,21797571.0
184,172581,Roesti,0.0
185,164393,Ivanesti,55531.0
186,57902,Gilau,15737928.0
187,16944,Lunca Corbului,3414452.0
188,156213,Carpinis,23243329.0
189,33337,Ilva Mare,0.0
190,25148,Sanduleni,0.0
191,41541,Ormenis,0.0
192,107083,Asuaju De Sus,0.0
193,74322,Teasc,401058.0
194,33364,Ilva Mica,0.0
195,123479,Piatra Soimului,814615.0
196,57948,Garbau,41765.0
197,156259,Cenad,13626021.0
198,90725,Rachitova,0.0
199,98916,Scanteia,6014926.0
200,33382,Josenii Bargaului,0.0
201,49769,Topliceni,4167.0
202,66152,Branistea,4333733.0
203,41578,Parau,178055.0
204,115307,Bahnea,1226896.0
205,139884,Oras Simleu Silvaniei,15690499.0
206,107118,Baita De Sub Codru,0.0
207,74359,Terpezita,9188373.0
208,156277,Cenei,9175133.0
209,8826,Vintu De Jos,7197512.0
210,82555,Turburea,0.0
211,123521,Pipirig,0.0
212,148097,Dolhesti,29716.0
213,25228,Saucesti,11971744.0
214,107154,Baiut,207675.0
215,41621,Poiana Marului,0.0
216,156311,Cheveresu Mare,440.0
217,66198,Baleni,0.0
218,58008,Iara,90433.0
219,172698,Rosiile,0.0
220,17049,Malureni,6175.0
221,33435,Lechinta,41052713.0
222,148131,Dorna-Arini,0.0
223,139937,Agrij,8465.0
224,74411,Teslui,4635293.0
225,66223,Barbuletu,0.0
226,90805,Ribita,0.0
227,98998,Scobinti,5420649.0
228,107190,Basesti,4489245.0
229,82617,Oras Turceni,467417.0
230,49849,Tintesti,3636151.0
231,115389,Band,14947706.0
232,164543,Ivesti,0.0
233,41667,Prejmer,3780746.0
234,156357,Oras Ciacova,8946055.0
235,25291,Scorteni,0.0
236,139982,Almasu,0.0
237,17101,Merisani,0.0
238,123601,Pangarati,141367.0
239,107234,Bicaz,557485.0
240,41701,Racos,0.0
241,49894,Ulmeni,3691589.0
242,148202,Dorna Candrenilor,0.0
243,33514,Lesu,0.0
244,131817,Oras Valenii De Munte,6160.0
245,99058,Sinesti,0.0
246,164598,Laza,2623969.0
247,82680,Tantareni,0.0
248,131835,Gura Vitioarei,0.0
249,90878,Rau De Mori,4858158.0
250,33541,Livezile,39471759.0
251,107270,Bistra,0.0
252,41738,Recea,121704.0
253,74509,Tuglui,0.0
254,172812,Runcu,59820.0
255,25362,Secuieni,397053.0
256,156437,Comlosu Mare,30049787.0
257,66330,Bezdead,0.0
258,123674,Podoleni,1924749.0
259,99101,Siretel,73801.0
260,58142,Iclod,255979.0
261,49956,Vadu Pasii,1156161.0
262,74536,Unirea,11343429.0
263,82733,Urdari,0.0
264,107314,Barsana,0.0
265,140084,Babeni,118849.0
266,17209,Micesti,473689.0
267,131899,Adunati,0.0
268,9019,Cut,47048.0
269,74554,Urzicuta,1848209.0
270,156473,Costeiu,901502.0
271,123709,Poienari,0.0
272,115520,Batos,8212986.0
273,9026,Bucerdea Granoasa,304483.0
274,33603,Lunca Ilvei,3685.0
275,148293,Dornesti,3405470.0
276,164687,Lipovat,48992905.0
277,74581,Valea Stanciului,4099377.0
278,33621,Maieru,70718.0
279,107350,Bocicoiu Mare,0.0
280,41818,Sercaia,67195236.0
281,82779,Vagiulesti,0.0
282,58204,Izvoru Crisului,0.0
283,99165,Stolniceni-Prajescu,969869.0
284,172894,Salatrucel,0.0
285,131933,Albesti-Paleologu,55076643.0
286,66401,Bilciuresti,2286577.0
287,17254,Mihaesti,28244.0
288,50022,Valea Ramnicului,1482707.0
289,148328,Dragoiesti,751752.0
290,140146,Balan,5988009.0
291,90994,Romos,9006799.0
292,156534,Criciova,0.0
293,115575,Bagaciu,594979.0
294,74616,Vela,653364.0
295,33658,Matei,0.0
296,41854,Sinca,1800.0
297,66438,Buciumeni,0.0
298,99209,Strunga,13797724.0
299,107403,Bogdan Voda,0.0
300,82831,Vladimir,0.0
301,123790,Poiana Teiului,1304154.0
302,164749,Lunca Banului,12479844.0
303,25488,Solont,2776605.0
304,115600,Bala,0.0
305,172947,Scundu,2170.0
306,58259,Jucu,1318253.0
307,50068,Valea Salciei,0.0
308,131988,Alunis,0.0
309,148382,Draguseni,0.0
310,107430,Boiu Mare,0.0
311,132011,Apostolache,1666216.0
312,66474,Bucsani,2139526.0
313,91054,Sarmizegetusa,0.0
314,156589,Curtea,0.0
315,25521,Stanisesti,1243473.0
316,140208,Banisor,0.0
317,115637,Balauseri,517699.0
318,17334,Mioarele,0.0
319,50102,Vernesti,3767318.0
320,33729,Magura Ilvei,0.0
321,172992,Sinesti,0.0
322,41925,Sanpetru,36192.0
323,58311,Luna,554329.0
324,148426,Dumbraveni,14601949.0
325,156623,Darova,55747.0
326,82895,Oras Rovinari,0.0
327,74705,Verbita,0.0
328,140244,Benesat,26795.0
329,41943,Soars,198048.0
330,99290,Scheia,1854287.0
331,107485,Botiza,0.0
332,66526,Candesti,0.0
333,164829,Malusteni,0.0
334,33765,Mariselu,0.0
335,148453,Fantanele,299547.0
336,132075,Aricestii Rahtivani,9401809.0
337,74732,Vartop,8998781.0
338,91116,Salasu De Sus,30000.0
339,58357,Maguri-Racatau,0.0
340,17398,Mirosi,838659.0
341,1017,Municipiul Alba Iulia,98546005.0
342,140280,Bobota,2963960.0
343,115708,Beica De Jos,987138.0
344,107519,Budesti,0.0
345,74750,Varvoru De Jos,721099.0
346,156669,Denta,10256412.0
347,173061,Slatioara,11975.0
348,123914,Raucesti,8190506.0
349,17423,Moraresti,0.0
350,42003,Tarlungeni,10042330.0
351,66580,Cobia,0.0
352,58393,Manastireni,0.0
353,107546,Calinesti,16490.0
354,25629,Strugari,0.0
355,164892,Miclesti,0.0
356,148514,Forasti,0.0
357,140324,Bocsa,2259464.0
358,156712,Dudestii Vechi,58975359.0
359,99370,Sipote,0.0
360,132137,Aricestii Zeletin,0.0
361,9262,Municipiul Arad,163255885.0
362,1071,Ciugud,445752.0
363,50228,Vintila Voda,0.0
364,33845,Micestii De Campie,82007.0
365,115771,Bichis,793874.0
366,107582,Cernesti,880694.0
367,9280,Fantanele,2772250.0
368,123969,Razboieni,438791.0
369,132164,Baba Ana,145803440.0
370,42058,Teliu,151481.0
371,164936,Muntenii De Jos,4675981.0
372,173132,Stanesti,0.0
373,17496,Mosoaia,4054220.0
374,33881,Milas,365867.0
375,140379,Buciumi,129313.0
376,74842,Catane,1927468.0
377,25692,Tamasi,54000.0
378,42076,Ticusu,0.0
379,156767,Dumbrava,2297992.0
380,58464,Margau,0.0
381,91232,Santamaria-Orlea,464225.0
382,74859,Carcea,10231131.0
383,99441,Tansa,0.0
384,115824,Bogata,186900.0
385,74867,Carna,0.0
386,9333,Livada,4435055.0
387,42101,Ucea,11127481.0
388,164981,Oras Murgeni,14188607.0
389,74875,Cotofenii Din Fata,218277.0
390,124028,Rediu,3953.0
391,1151,Oras Abrud,86083.0
392,132226,Balta Doamnei,8222151.0
393,74883,Dobrotesti,0.0
394,156801,Oras Faget,1515055.0
395,148612,Oras Frasin,168322.0
396,66697,Cojasca,3796794.0
397,74891,Galiciuica,19955.0
398,115851,Breaza,2177300.0
399,107662,Cicarlau,0.0
400,9360,Sofronea,1005303.0
401,25745,Tatarasti,0.0
402,50326,Viperesti,0.0
403,99478,Tatarusi,0.0
404,74907,Ghidici,3287875.0
405,140440,Camar,6944764.0
406,33952,Monor,13498414.0
407,74915,Ghindeni,147266.0
408,58534,Marisel,0.0
409,17575,Mozaceni,134362.0
410,124073,Romani,2570438.0
411,66731,Comisani,2412610.0
412,74923,Intorsura,0.0
413,42156,Ungra,0.0
414,173230,Stoenesti,0.0
415,132271,Baltesti,27164.0
416,74931,Plesoi,0.0
417,9397,Vladimirescu,40768398.0
418,58552,Mintiu Gherlii,0.0
419,115897,Brancovenesti,0.0
420,148667,Fratautii Noi,68892.0
421,83133,Municipiul Odorheiu Secuiesc,1470532.0
422,1213,Municipiul Aiud,10980903.0
423,140477,Carastelec,4195198.0
