,Siruta,Localitate,Ca_loc
0,32768,Budesti,0.0
1,49153,Sahateni,114.83279364144833
2,57350,Cojocna,398.7137741704464
3,90119,Lunca Cernii De Jos,0.0
4,73736,Poiana Mare,267.42276346604217
5,147465,Bunesti,0.0
6,155662,Bara,1940.3219814241486
7,139287,Valea Vinului,206.28335832083957
8,114710,Oras Ludus,283.55128933318184
9,122908,Grumazesti,18.107142857142858
10,131103,Oras Breaza,193.66718358582847
11,40991,Fundata,0.0
12,98337,Plugari,2942.451923076923
13,8229,Vadu Motilor,0.0
14,16427,Dobresti,4.3466068424004485
15,32811,Caianu Mic,62.21061167747915
16,73772,Predesti,119.30167865707433
17,172082,Pausesti-Maglasi,2.4011961126339396
18,49206,Sapoca,18.118436406067676
19,24631,Poduri,1.4258373205741626
20,163903,Gagesti,1360.277666999003
21,106559,Municipiul Sighetu Marmatiei,6.654592819118813
22,139330,Vama,326.81489621489624
23,81987,Schela,1217.4293133294864
24,98373,Oras Podu Iloaiei,1081.1040326234709
25,147526,Cacica,0.0
26,16454,Domnesti,108.56558935361217
27,65609,Oras Fieni,11.059722948248824
28,122953,Hangu,0.0
29,41033,Halchiu,4774.141073657927
30,155724,Beba Veche,6895.925298179535
31,49233,Sarulesti,172.28319882611885
32,16472,Dragoslavele,0.0
33,139358,Vetis,68.60948164545287
34,90208,Luncoiu De Jos,0.0
35,57449,Cornesti,0.0
36,65645,Motaieni,0.0
37,155760,Becicherecu Mic,5885.564434617814
38,32884,Cetate,653.9823834196891
39,114809,Municipiul Reghin,1103.3830059889635
40,16506,Draganu,0.0
41,172153,Perisani,7.125991189427313
42,73852,Radovan,713.6331845238095
43,106620,Sarasau,0.0
44,163967,Gherghesti,0.0
45,82047,Slivilesti,0.0
46,147580,Calafindesti,76.29309188464119
47,41088,Harman,1786.5890698049332
48,139394,Viile Satu Mare,283.9763157894737
49,98435,Popesti,49.53041449847479
50,123013,Icusesti,240.59067464410975
51,24711,Racova,141.0
52,131210,Oras Busteni,0.0
53,65681,Oras Gaesti,162.07252704287762
54,90262,Martinesti,0.0
55,155797,Belint,575.9191996921893
56,41113,Harseni,62.53740593182824
57,106648,Vadu Izei,0.0
58,49313,Scortoasa,0.0
59,8354,Valea Lunga,22.923518164435947
