,Judet,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare,Siruta
0,ab,100766015.0,157215511.0,2286030.0,675752092.0,17735482.0,29525661.0,497301
1,ag,234683007.0,2724578.0,199525.0,288616681.0,10678077.0,21267928.0,2451557
2,ar,492348683.0,12994009.0,418837.0,111806410.0,41711037.0,35922919.0,959089
3,b,2516831055.0,15871233.0,13136115.0,216949664.0,49321755.0,69409930.0,179132
4,bc,312579723.0,24626247.0,2268525.0,108488579.0,239769271.0,169815903.0,2971233
5,bh,614665798.0,3385875.0,1546957.0,311095635.0,39514562.0,29000391.0,3885997
6,bn,23622491.0,17464799.0,758437.0,118183040.0,1809748.0,3963133.0,3519521
7,br,1193548620.0,9157647.0,190712.0,245177247.0,64337325.0,64332160.0,3061736
8,bt,348451231.0,2178738.0,0.0,69468520.0,58155399.0,22734551.0,4334096
9,bv,80866197.0,5703015.0,20932953.0,626220718.0,101184584.0,51482320.0,2808292
10,bz,552509868.0,181407350.0,995499.0,507748959.0,99498328.0,101817768.0,5093507
11,cj,186411920.0,9117763.0,1106816.0,219512773.0,28465367.0,18361724.0,5765611
12,cl,2017556963.0,3500404.0,2813292.0,337115973.0,119163961.0,113557575.0,8395660
13,cs,96448866.0,1726297.0,362.0,89988627.0,24995086.0,20630835.0,4381058
14,ct,1652457946.0,57545965.0,174492.0,240826209.0,173546645.0,132188741.0,6709805
15,cv,97427952.0,372844.0,1333750.0,18845028.0,22766070.0,5105202.0,3352598
16,db,188511133.0,1728125.0,4060133.0,341719220.0,12379779.0,31607516.0,10565720
17,dj,686995307.0,28614720.0,302347.0,151197652.0,11473314.0,49896140.0,9308246
18,gj,47043316.0,9537596.0,123982.0,25419712.0,3409525.0,5053094.0,7225492
19,gl,866540893.0,1660027.0,18186.0,130326560.0,24676551.0,43624102.0,8026314
20,gr,438285558.0,3317585.0,2074071.0,267554538.0,2906508.0,27011182.0,8406709
21,hd,29321157.0,3505942.0,171358.0,181919270.0,7810235.0,4668108.0,6522368
22,hr,132746503.0,1744212.0,1323131.0,64955912.0,34054182.0,27901266.0,7740820
23,if,438551503.0,6172984.0,48569145.0,201179030.0,13140001.0,33531082.0,6423909
24,il,1073094380.0,568962.0,695467.0,252348109.0,113450792.0,44868650.0,11501825
25,is,428442038.0,8016593.0,441685.0,457337332.0,110154677.0,83238853.0,15015414
26,mh,91713107.0,6848225.0,0.0,169125758.0,2538353.0,3588953.0,10210037
27,mm,13806197.0,7618313.0,2437610.0,138375125.0,5513033.0,2583621.0,10356562
28,ms,157901319.0,24684569.0,247755.0,195177898.0,59477100.0,29463870.0,16816369
29,nt,282653991.0,1149465.0,199140.0,154993662.0,40725398.0,85901471.0,13807236
30,ot,762231933.0,4918501.0,47611.0,67703100.0,14305033.0,42482836.0,20256059
31,ph,279990327.0,25176437.0,899300.0,597085876.0,169065747.0,14719416.0,18000704
32,sb,48135446.0,16728083.0,1573462.0,82436202.0,71235934.0,3282220.0,10711301
33,sj,117272877.0,8374761.0,1111666.0,97246356.0,8118894.0,3445667.0,9305703
34,sm,293908806.0,4353406.0,109294.0,243357487.0,61297330.0,296157515.0,9867794
35,sv,148814195.0,4304639.0,564814.0,85360902.0,206516334.0,7514616.0,22354992
36,tl,827367847.0,50130079.0,1100.0,135332262.0,25828159.0,50270476.0,11405730
37,tm,1229421126.0,26536516.0,1018620.0,917741385.0,91789059.0,131022379.0,18291623
38,tr,2577684499.0,3812823.0,631482.0,148409704.0,57104056.0,45429203.0,22113571
39,vl,163293014.0,4924841.0,40818.0,405269897.0,64466677.0,61091964.0,23647120
40,vn,328707074.0,91326459.0,259092.0,377839620.0,32675580.0,20506924.0,16835220
41,vs,913294471.0,12915182.0,2888.0,124123575.0,167144874.0,17482705.0,22408259
