,Judet,Subactiv_max
0,dj,c3511
1,ms,c3523
2,vl,c3530
3,hr,c3530
4,nt,c3530
5,tm,c3530
6,tl,c3530
7,tr,c3530
8,bz,c3530
9,bv,c3512
10,vs,c3522
11,br,c3521
12,vn,c3530
13,bt,c3521
14,bn,c3530
15,if,c3523
16,sv,c3530
17,mh,c3530
18,bh,c3530
19,bc,c3530
20,ot,c3523
21,mm,c3511
22,db,c3530
23,is,c3513
24,sm,c3511
25,b,c3530
26,ar,c3511
27,hd,c3511
28,il,c3511
29,sj,c3530
30,ct,c3530
31,cs,c3530
32,gl,c3511
33,gj,c3530
34,sb,c3512
35,cl,c3530
36,cj,c3513
37,ab,c3521
38,ph,c3530
39,ag,c3530
40,gr,c3521
