,Judet,Pop_fara_studii_la_100000_oameni
19,gr,8280.792980175496
23,il,7627.747159284208
36,tr,6365.129468524649
38,tl,5113.096991718223
41,vn,5006.81842558212
11,cl,4959.192926773974
15,cv,4935.504168633003
27,mh,4930.227696381596
16,db,4667.250388149571
40,vs,4653.29377150551
6,bt,4590.23146159981
25,if,4517.815711183135
32,sj,4496.532123277164
10,bz,4492.524289275142
7,br,4466.300016835961
30,ot,4317.471737580857
18,gl,4213.964302377996
28,ms,4198.191672032625
33,sm,4116.498993449106
17,dj,3896.7524684664118
3,bc,3759.852024036732
5,bn,3727.2754863577043
4,bh,3546.5515153961014
39,vl,3438.5375057957754
14,ct,3361.507101866999
20,gj,3314.148170586935
26,mm,3308.0766328960444
24,is,3297.302227008998
21,hr,3162.7764845456263
35,sv,3029.4527518144496
0,ab,3022.6792764668076
31,ph,2988.408611875057
29,nt,2861.903056537378
12,cs,2848.335501085907
37,tm,2724.0065265318585
1,ar,2620.866159161964
13,cj,2595.655267303215
2,ag,2436.081852350239
34,sb,2414.3565411517006
8,bv,2341.626594187748
22,hd,2316.7731055265267
9,b,870.6467071494292
