,Judet,Pop_fara_studii_la_100000_oameni
19,gr,3669.2043873903153
23,il,2749.5895046608152
36,tr,2367.6843919213693
38,tl,1777.0964393269828
15,cv,1758.373407267579
27,mh,1698.9574188602985
41,vn,1694.9353883948863
25,if,1622.8715334890348
40,vs,1551.5445070563007
16,db,1530.503709405039
7,br,1493.098928110444
32,sj,1481.245484493464
28,ms,1425.02504896437
10,bz,1423.150493300878
6,bt,1376.225162356158
11,cl,1375.385343459533
18,gl,1310.2598777392034
30,ot,1236.0050829053168
33,sm,1190.7521071062238
5,bn,1184.2798840632493
3,bc,1177.788232808026
17,dj,1156.639466925404
20,gj,1065.9861473846229
14,ct,1052.4496702240917
24,is,982.6995524702081
21,hr,967.0999613528306
39,vl,928.0930225062049
31,ph,874.1318974442607
0,ab,837.9351968204415
1,ar,826.4171840445919
12,cs,818.7911037871196
26,mm,804.6666419610906
37,tm,787.4537742105143
29,nt,772.3298818180402
35,sv,764.7362691211969
22,hd,706.914740452934
2,ag,675.6243051366525
13,cj,674.5407619754221
4,bh,614.097689172283
34,sb,592.6819313991213
8,bv,555.1721675251364
9,b,158.59123307926026
